23507782,"Spellcraft for a Magical Year: Rituals and Enchantments for Prosperity, Power, and Fortune",Sarah Bartlett,"Bartlett, Sarah",,1592336809,9781592336807,0,3.63,Fair Winds Press,Paperback,224,2015,2015,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#266), witchcraft (#40), to-read (#615)",to-read,,,,0,0
55600250,Missing Witches: Recovering the True Histories of Feminist Magic,Risa Dickens,"Dickens, Risa",Amy Torok,1623175720,9781623175726,0,4.06,North Atlantic Books,Paperback,291,2021,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#265), witchcraft (#39), to-read (#614)",to-read,,,,0,0
46231547,You Are a Great and Powerful Wizard: Self-Care Magic for Modern Mortals,Sage Liskey,"Liskey, Sage",Barbara Counsil,1621064832,9781621064831,0,3.83,Microcosm Publishing,Hardcover,288,2020,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#264), witchcraft (#38), to-read (#613)",to-read,,,,0,0
5726284,"Earth Magic: Ancient Shamanic Wisdom for Healing Yourself, Others, and the Planet",Steven D. Farmer,"Farmer, Steven D.",,1401920055,9781401920050,0,3.97,Hay House,Paperback,288,2009,2009,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#263), witchcraft (#37), to-read (#612)",to-read,,,,0,0
25862152,Witchcraft: A Handbook of Magic Spells and Potions,Anastasia  Greywolf,"Greywolf, Anastasia",Melissa West,1577151240,9781577151241,0,3.18,Wellfleet Press,Hardcover,256,2016,2016,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#262), witchcraft (#36), to-read (#611)",to-read,,,,0,0
61060849,The Practical Witch's Almanac 2023: Infinite Spells (Good Life),Friday Gladheart,"Gladheart, Friday",,1648411142,9781648411144,0,4.33,,Paperback,,2022,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#261), witchcraft (#35), to-read (#610)",to-read,,,,0,0
51182126,Cosmic Care: An Intergalactic Guide to Finding Your Glow,Robin Eisenberg,"Eisenberg, Robin",,1797203835,9781797203836,0,4.43,Chronicle Books,Hardcover,80,2020,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#260), witchcraft (#34), to-read (#609)",to-read,,,,0,0
40621440,"Light Magic for Dark Times: More than 100 Spells, Rituals, and Practices for Coping in a Crisis",Lisa Marie Basile,"Basile, Lisa Marie",Kristen J. Sollee,,,0,4.37,Fair Winds Press,Kindle Edition,176,2018,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#259), witchcraft (#33), to-read (#608)",to-read,,,,0,0
34523846,"The Urban Sketching Handbook Sketch Now, Think Later: Jump into Urban Sketching with Limited Time, Tools, and Techniques",Mike Yoshiaki Daikubara,"Daikubara, Mike Yoshiaki",,1631593447,9781631593444,4,4.09,Quarry Books,Paperback,112,2017,,2022/10/06,2022/10/02,art,art (#10),read,,,,1,0
2530555,Three Ghost Stories,Charles Dickens,"Dickens, Charles",,1600964206,9781600964206,0,3.35,Waking Lion Press,Paperback,80,2006,1998,,2021/10/31,"owned-to-read, horror, to-read","owned-to-read (#162), horror (#4), to-read (#607)",to-read,,,,0,0
59807955,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,1250854547,9781250854544,0,3.77,Tor Books,Paperback,416,2022,2020,,2022/10/01,to-read,to-read (#606),to-read,,,,0,0
11506091,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,,,0,4.03,Doubleday,Kindle Edition,401,2011,2011,,2022/09/21,"libby, to-read","libby (#70), to-read (#605)",to-read,,,,0,0
12421498,"Drawing Down the Moon: Witches, Druids, Goddess-Worshippers, and Other Pagans in America",Margot Adler,"Adler, Margot",,,,0,3.99,,Kindle Edition,672,,1979,,2022/08/21,"libby, witchcraft, to-read","libby (#65), witchcraft (#26), to-read (#604)",to-read,,,,0,0
56472835,Draw Your World: How to Sketch and Paint Your Remarkable Life: Artfully Capture and Celebrate Daily Life,Samantha Dion Baker,"Baker, Samantha Dion",,1984858203,9781984858207,5,4.3,,Paperback,176,2021,,2022/09/28,2021/06/22,"owned-to-read, art","owned-to-read (#97), art (#2)",read,"Samantha Dion Baker is hands down my favorite illustrator, and has had the biggest influence on my art. As always, the illustrations I'm this book are beautiful.<br/><br/>I loved her first book, Draw Your Day, and this follow-up is equally amazing. One thing this book brings to the table over the first is it has a lot more technical instructions, and challenges/prompts to attempt yourself.<br/><br/>I would highly recommend both books to anyone  interested in sketch journalling.",,,1,0
6746355,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",,,,0,4.15,HarperCollins,Kindle Edition,325,2009,2008,,2022/04/12,to-read,to-read (#603),to-read,,,,0,0
22351163,Everyday Witchcraft: Making Time for Spirit in a Too-Busy World,Deborah Blake,"Blake, Deborah",,073874218X,9780738742182,3,4.1,Llewellyn Publications,Paperback,240,2015,2015,2022/09/25,2022/09/05,"listened, witchcraft","listened (#18), witchcraft (#30)",read,,,,1,0
58735007,How to Tell a Story: The Essential Guide to Memorable Storytelling from The Moth,Meg Bowles,"Bowles, Meg","Catherine Burns, Jenifer Hixson, Sarah Austin Jenness, Kate Tellers, Padma Lakshmi, Chenjerai Kumanyika",0593139003,9780593139004,0,3.94,Crown Publishing Group (NY),Hardcover,336,2022,2022,,2022/09/23,to-read,to-read (#601),to-read,,,,0,0
849939,Magick in Theory and Practice,Aleister Crowley,"Crowley, Aleister",,0486232956,9780486232959,0,4.1,Dover,Paperback,464,1976,1929,,2022/09/23,"to-read, witchcraft","to-read (#600), witchcraft (#32)",to-read,,,,0,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,0374157359,9780374157357,0,4.22,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/09/21,"to-read, libby","to-read (#599), libby (#71)",to-read,,,,0,0
60018639,Thistlefoot,GennaRose Nethercott,"Nethercott, GennaRose",,059346883X,9780593468838,0,4.06,Anchor Books,Hardcover,448,2022,2022,,2022/09/21,to-read,to-read (#598),to-read,,,,0,0
84075,The Midnight Club,Christopher Pike,"Pike, Christopher",,067187263X,9780671872632,0,3.65,Simon Pulse,Paperback,216,1994,1994,,2022/09/20,to-read,to-read (#597),to-read,,,,0,0
